Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Mohammed Shami (GT),2023-2023,17,17,390,65,2,522,28,04-Nov,18.64,8.03,13.92,2,-
MM Sharma (GT),2023-2023,14,14,265,44.1,-,361,27,05-Oct,13.37,8.17,9.81,2,1
Rashid Khan (GT),2023-2023,17,17,402,67,-,552,27,Apr-30,20.44,8.23,14.88,1,-
PP Chawla (MI),2023-2023,16,16,366,61,-,495,22,Mar-22,22.5,8.11,16.63,-,-
YS Chahal (RR),2023-2023,14,14,317,52.5,-,432,21,Apr-17,20.57,8.17,15.09,3,-
TU Deshpande (CSK),2023-2023,16,16,341,56.5,-,564,21,Mar-45,26.85,9.92,16.23,-,-
RA Jadeja (CSK),2023-2023,16,16,342,57,-,431,20,Mar-20,21.55,7.56,17.1,-,-
CV Varun (KKR),2023-2023,14,14,316,52.4,1,429,20,Apr-15,21.45,8.14,15.8,1,-
Mohammed Siraj (RCB),2023-2023,14,14,300,50,-,375,19,Apr-21,19.73,7.5,15.78,1,-
M Pathirana (CSK),2023-2023,12,12,278,46.2,-,371,19,Mar-15,19.52,8,14.63,-,-
Arshdeep Singh (PBKS),2023-2023,14,14,305,50.5,-,493,17,Apr-29,29,9.69,17.94,1,-
Ravi Bishnoi (LSG),2023-2023,15,14,303,50.3,-,391,16,Mar-28,24.43,7.74,18.93,-,-
Noor Ahmad (GT),2023-2023,13,13,283,47.1,-,369,16,Mar-37,23.06,7.82,17.68,-,-
B Kumar (SRH),2023-2023,14,14,306,51,1,425,16,May-30,26.56,8.33,19.12,-,1
R Ashwin (RR),2023-2023,13,13,294,49,-,368,14,Feb-23,26.28,7.51,21,-,-
A Madhwal (MI),2023-2023,8,8,153,25.3,-,219,14,05-May,15.64,8.58,10.92,1,1
JP Behrendorff (MI),2023-2023,12,12,252,42,-,387,14,Mar-23,27.64,9.21,18,-,-
HV Patel (RCB),2023-2023,14,13,282,47,-,454,14,Mar-32,32.42,9.65,20.14,-,-
TA Boult (RR),2023-2023,10,10,228,38,3,312,13,Mar-29,24,8.21,17.53,-,-
DL Chahar (CSK),2023-2023,10,10,204,34,-,297,13,Mar-22,22.84,8.73,15.69,-,-
NT Ellis (PBKS),2023-2023,10,10,228,38,-,339,13,Apr-30,26.07,8.92,17.53,1,-
Yash Thakur (LSG),2023-2023,9,9,191,31.5,-,289,13,Apr-37,22.23,9.07,14.69,1,-
M Markande (SRH),2023-2023,10,10,228,38,-,300,12,Apr-15,25,7.89,19,1,-
MR Marsh (DC),2023-2023,9,8,121,20.1,1,170,12,Apr-27,14.16,8.42,10.08,1,-
AR Patel (DC),2023-2023,14,13,282,47,-,338,11,Feb-13,30.72,7.19,25.63,-,-
Naveen-ul-Haq (LSG),2023-2023,8,7,168,28,-,219,11,Apr-38,19.9,7.82,15.27,1,-
SP Narine (KKR),2023-2023,14,14,288,48,-,383,11,Mar-33,34.81,7.97,26.18,-,-
M Theekshana (CSK),2023-2023,13,13,294,49,1,392,11,Feb-23,35.63,8,26.72,-,-
MA Wood (LSG),2023-2023,4,4,96,16,1,130,11,May-14,11.81,8.12,8.72,-,1
Kuldeep Yadav (DC),2023-2023,14,14,294,49,1,361,10,Feb-15,36.1,7.36,29.4,-,-
Suyash Sharma (KKR),2023-2023,11,11,234,39,-,321,10,Mar-30,32.1,8.23,23.4,-,-
I Sharma (DC),2023-2023,8,8,150,25,-,206,10,Feb-19,20.6,8.24,15,-,-
Sandeep Sharma (RR),2023-2023,12,12,276,46,-,396,10,Feb-25,39.6,8.6,27.6,-,-
A Nortje (DC),2023-2023,10,10,240,40,-,364,10,Feb-20,36.4,9.1,24,-,-
T Natarajan (SRH),2023-2023,12,12,270,45,-,410,10,Feb-23,41,9.11,27,-,-
M Jansen (SRH),2023-2023,8,8,162,27,1,267,10,Feb-16,26.7,9.88,16.2,-,-
SM Curran (PBKS),2023-2023,14,14,287,47.5,-,489,10,Mar-31,48.9,10.22,28.7,-,-
KV Sharma (RCB),2023-2023,7,7,129,21.3,-,223,10,Feb-19,22.3,10.37,12.9,-,-
KH Pandya (LSG),2023-2023,15,12,252,42,-,313,9,Mar-18,34.77,7.45,28,-,-
MM Ali (CSK),2023-2023,15,11,156,26,-,195,9,Apr-26,21.66,7.5,17.33,1,-
Harpreet Brar (PBKS),2023-2023,13,11,163,27.1,-,218,9,Apr-30,24.22,8.02,18.11,1,-
PW Hasaranga (RCB),2023-2023,8,8,174,29,-,258,9,Feb-24,28.66,8.89,19.33,-,-
KK Ahmed (DC),2023-2023,9,9,198,33,2,301,9,Feb-24,33.44,9.12,22,-,-
WD Parnell (RCB),2023-2023,7,7,151,25.1,-,236,9,03-Oct,26.22,9.37,16.77,-,-
V Vyshak (RCB),2023-2023,7,7,144,24,-,253,9,Mar-20,28.11,10.54,16,-,-
RD Chahar (PBKS),2023-2023,14,14,298,49.4,-,385,8,Feb-16,48.12,7.75,37.25,-,-
A Zampa (RR),2023-2023,6,6,132,22,-,188,8,Mar-22,23.5,8.54,16.5,-,-
Avesh Khan (LSG),2023-2023,9,9,174,29,-,283,8,Mar-25,35.37,9.75,21.75,-,-
