Player,Team,Type,Price,Season
Daryl Mitchell,-,AR,0,2025
Krunal Pandya,RCB,AR,5.75,2025
Nitish Rana,RR,AR,4.2,2025
Washington Sundar,GT,AR,3.2,2025
Shardul Thakur,-,AR,0,2025
Srikar Bharat,-,BAT,0,2025
Alex Carey,-,BAT,0,2025
Donovan Ferreira,DC,BAT,0.75,2025
Shai Hope,-,BAT,0,2025
Josh Inglis,PBKS,BAT,2.6,2025
Ryan Rickelton,MI,BAT,1,2025
Deepak Chahar,MI,BOWL,9.25,2025
Gerald Coetzee,GT,BOWL,2.4,2025
Akash Deep,LSG,BOWL,8,2025
Tushar Deshpande,RR,BOWL,6.5,2025
Lockie Ferguson,PBKS,BOWL,2,2025
Bhuvneshwar Kumar,RCB,BOWL,10.75,2025
Mukesh Kumar,DC,BOWL,8,2025
AM Ghazanfar,MI,BOWL,4.8,2025
Akeal Hosein,-,BOWL,0,2025
Keshav Maharaj,-,BOWL,0,2025
Mujeeb Ur Rahman,-,BOWL,0,2025
Adil Rashid,-,BOWL,0,2025
Vijayakanth Viyaskanth,-,BOWL,0,2025
Ricky Bhui,-,BAT,0,2025
Swastik Chikara,RCB,BAT,0.3,2025
Aarya Desai,-,BAT,0,2025
Shubham Dubey,RR,BAT,0.8,2025
Madhav Kaushik,-,BAT,0,2025
Pukhraj Mann,-,BAT,0,2025
Shaik Rasheed,CSK,BAT,0.3,2025
Himmat Singh,LSG,BAT,0.3,2025
Mayank Dagar,-,AR,0,2025
Anshul Kamboj,CSK,AR,3.4,2025
Arshad Khan,GT,AR,1.3,2025
Darshan Nalkande,DC,AR,0.3,2025
Suyash Prabhudessai,-,AR,0,2025
Anukul Roy,KKR,AR,0.4,2025
Swapnil Singh,RCB,AR,0.5,2025
Sanvir Singh,-,AR,0,2025
Aravelly Avanish,-,BAT,0,2025
Vansh Bedi,CSK,BAT,0.55,2025
Saurav Chauhan,-,BAT,0,2025
Harvik Desai,-,BAT,0,2025
Tom Kohler-Cadmore,-,BAT,0,2025
Kunal Singh Rathore,RR,BAT,0.3,2025
BR Sharath,-,BAT,0,2025
Gurnoor Brar,GT,BOWL,1.3,2025
Mukesh Choudhary,CSK,BOWL,0.3,2025
Sakib Hussain,-,BOWL,0,2025
Vidwath Kaverappa,-,BOWL,0,2025
Rajan Kumar,-,BOWL,0,2025
Sushant Mishra,-,BOWL,0,2025
Arjun Tendulkar,MI,BOWL,0.3,2025
Zeeshan Ansari,SRH,BOWL,0.4,2025
Prince Choudhary,-,BOWL,0,2025
Himanshu Sharma,-,BOWL,0,2025
Manimaran Siddharth,LSG,BOWL,0.75,2025
Digvesh Singh,LSG,BOWL,0.3,2025
Prashant Solanki,-,BOWL,0,2025
Jhathavedh Subramanyan,-,BOWL,0,2025
Finn Allen,-,BAT,0,2025
Dewald Brevis,-,BAT,0,2025
Ben Duckett,-,BAT,0,2025
Manish Pandey,KKR,BAT,0.75,2025
Rilee Rossouw,-,BAT,0,2025
Sherfane Rutherford,GT,BAT,2.6,2025
Ashton Turner,-,BAT,0,2025
James Vince,-,BAT,0,2025
Shahbaz Ahmed,LSG,AR,2.4,2025
Moeen Ali,KKR,AR,2,2025
Tim David,RCB,AR,3,2025
Deepak Hooda,CSK,AR,1.7,2025
Will Jacks,MI,AR,5.25,2025
Azmatullah Omarzai,PBKS,AR,2.4,2025
Sai Kishore,GT,AR,2,2025
Romario Shepherd,RCB,AR,1.5,2025
Tom Banton,-,BAT,0,2025
Sam Billings,-,BAT,0,2025
Jordan Cox,-,BAT,0,2025
Ben McDermott,-,BAT,0,2025
Kusal Mendis,-,BAT,0,2025
Kusal Perera,-,BAT,0,2025
Josh Philippe,-,BAT,0,2025
Tim Seifert,-,BAT,0,2025
Nandre Burger,-,BOWL,0,2025
Spencer Johnson,KKR,BOWL,2.8,2025
Umran Malik,KKR,BOWL,0.75,2025
Mustafizur Rahman,-,BOWL,0,2025
Ishant Sharma,GT,BOWL,0.75,2025
Nuwan Thushara,RCB,BOWL,1.6,2025
Naveen-ul-Haq,-,BOWL,0,2025
Jaydev Unadkat,SRH,BOWL,1,2025
Umesh Yadav,-,BOWL,0,2025
Rishad Hossain,-,BOWL,0,2025
Zahir Khan,-,BOWL,0,2025
Nqabayomzi Peter,-,BOWL,0,2025
Tanveer Sangha,-,BOWL,0,2025
Tabraiz Shamsi,-,BOWL,0,2025
Jeffrey Vandersay,-,BOWL,0,2025
Sachin Baby,SRH,BAT,0.3,2025
Priyam Garg,-,BAT,0,2025
Harnoor Singh,PBKS,BAT,0.3,2025
R Smaran,-,BAT,0,2025
Shashwat Rawat,-,BAT,0,2025
C Andre Siddarth,CSK,BAT,0.3,2025
Avneesh Sudha,-,BAT,0,2025
Apoorv Wankhade,-,BAT,0,2025
Yudhvir Singh,RR,AR,0.35,2025
Rishi Dhawan,-,AR,0,2025
Rajvardhan Hangargekar,LSG,AR,0.3,2025
Tanush Kotian,-,AR,0,2025
Arshin Kulkarni,LSG,AR,0.3,2025
Shams Mulani,-,AR,0,2025
Shivam Singh,-,AR,0,2025
Lalit Yadav,-,AR,0,2025
