Player,Season,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
V Vyshak (PBKS),2025,5,5,102,17,-,181,4,Feb-44,45.25,10.64,25.5,-,-
A Madhwal (RR),2025,4,4,90,15,-,166,4,Mar-29,41.5,11.06,22.5,-,-
I Sharma (GT),2025,7,7,110,18.2,-,205,4,Jan-18,51.25,11.18,27.5,-,-
PVD Chameera (DC),2025,6,5,90,15,-,171,4,Jan-24,42.75,11.4,22.5,-,-
Yudhvir Singh (RR),2025,4,4,66,11,-,131,4,Mar-47,32.75,11.9,16.5,-,-
R Parag (RR),2025,14,9,120,20,-,170,3,01-Dec,56.66,8.5,40,-,-
Prince Yadav (LSG),2025,6,6,137,22.5,-,225,3,Jan-29,75,9.85,45.66,-,-
Akash Deep (LSG),2025,6,6,114,19,-,229,3,Feb-55,76.33,12.05,38,-,-
A Badoni (LSG),2025,14,2,10,1.4,-,13,2,02-Apr,6.5,7.8,5,-,-
LS Livingstone (RCB),2025,10,5,54,9,-,76,2,Feb-28,38,8.44,27,-,-
PHKD Mendis (SRH),2025,5,4,42,7,-,60,2,01-Apr,30,8.57,21,-,-
K Nitish Kumar Reddy (SRH),2025,13,3,30,5,-,47,2,Jan-13,23.5,9.4,15,-,-
M Siddharth (LSG),2025,2,2,42,7,-,67,2,Feb-39,33.5,9.57,21,-,-
XC Bartlett (PBKS),2025,4,4,60,10,-,96,2,Jan-26,48,9.6,30,-,-
K Kartikeya (RR),2025,4,4,48,8,-,78,2,Jan-21,39,9.75,24,-,-
Washington Sundar (GT),2025,6,5,65,10.5,-,111,2,Jan-28,55.5,10.24,32.5,-,-
MM Sharma (DC),2025,8,8,150,25,-,257,2,01-Oct,128.5,10.28,75,-,-
G Coetzee (GT),2025,4,4,72,12,-,131,2,01-Oct,65.5,10.91,36,-,-
K Rabada (GT),2025,4,4,84,14,-,162,2,Jan-41,81,11.57,42,-,-
A Zampa (SRH),2025,2,2,48,8,-,94,2,Jan-46,47,11.75,24,-,-
MP Yadav (LSG),2025,2,2,48,8,-,100,2,Feb-40,50,12.5,24,-,-
Simarjeet Singh (SRH),2025,4,4,60,10,-,141,2,Feb-46,70.5,14.1,30,-,-
N Thushara (RCB),2025,1,1,24,4,-,26,1,Jan-26,26,6.5,24,-,-
AS Roy (KKR),2025,1,1,24,4,-,27,1,Jan-27,27,6.75,24,-,-
C Bosch (MI),2025,3,2,42,7,-,55,1,Jan-26,55,7.85,42,-,-
NT Ellis (CSK),2025,1,1,24,4,-,38,1,Jan-38,38,9.5,24,-,-
K Khejroliya (GT),2025,1,1,18,3,-,29,1,Jan-29,29,9.66,18,-,-
P Dubey (PBKS),2025,1,1,12,2,-,20,1,Jan-20,20,10,12,-,-
KT Maphaka (RR),2025,2,2,30,5,-,54,1,Jan-32,54,10.8,30,-,-
SM Curran (CSK),2025,5,5,72,12,-,133,1,Jan-34,133,11.08,72,-,-
RJ Gleeson (MI),2025,1,1,21,3.3,-,39,1,Jan-39,39,11.14,21,-,-
Rasikh Salam (RCB),2025,2,2,36,6,-,70,1,Jan-35,70,11.66,36,-,-
SH Johnson (KKR),2025,4,4,68,11.2,-,133,1,Jan-42,133,11.73,68,-,-
Mukesh Choudhary (CSK),2025,2,2,36,6,-,71,1,Jan-21,71,11.83,36,-,-
