Player,Season,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SM Curran (CSK),2025,5,5,-,114,88,22.8,84,135.71,-,1,-,11,4
LS Livingstone (RCB),2025,10,8,1,112,54,16,84,133.33,-,1,2,4,9
KH Pandya (RCB),2025,15,7,1,109,73*,18.16,86,126.74,-,1,1,9,4
SB Dubey (RR),2025,9,8,4,106,34*,26.5,66,160.6,-,-,-,6,8
R Tewatia (GT),2025,15,12,4,99,24*,12.37,59,167.79,-,-,3,6,7
PJ Cummins (SRH),2025,14,9,5,97,22*,24.25,58,167.24,-,-,-,6,7
MA Agarwal (RCB),2025,4,4,1,95,41*,31.66,64,148.43,-,-,-,10,2
MK Pandey (KKR),2025,3,3,1,92,37,46,65,141.53,-,-,-,5,5
PHKD Mendis (SRH),2025,5,5,2,92,32*,30.66,69,133.33,-,-,1,7,2
JM Bairstow (MI),2025,2,2,-,85,47,42.5,46,184.78,-,-,-,7,5
M Jansen (PBKS),2025,14,8,4,75,34*,18.75,63,119.04,-,-,1,3,4
Rahmanullah Gurbaz (KKR),2025,5,5,1,74,35,18.5,53,139.62,-,-,-,10,3
SK Rasheed (CSK),2025,5,5,-,71,27,14.2,63,112.69,-,-,1,9,2
R Shepherd (RCB),2025,8,3,1,70,53*,35,24,291.66,-,1,1,5,7
UM Patel (CSK),2025,3,3,-,68,37,22.66,32,212.5,-,-,1,5,6
JG Bethell (RCB),2025,2,2,-,67,55,33.5,39,171.79,-,1,-,9,3
JC Archer (RR),2025,12,7,1,63,30,10.5,50,126,-,-,2,3,4
A Manohar (SRH),2025,8,5,-,61,43,12.2,61,100,-,-,1,2,4
Azmatullah Omarzai (PBKS),2025,9,5,1,57,21*,14.25,41,139.02,-,-,-,6,3
Harshit Rana (KKR),2025,13,7,3,57,34,14.25,53,107.54,-,-,-,5,3
J Fraser-McGurk (DC),2025,6,6,-,55,38,9.16,52,105.76,-,-,2,7,2
RA Tripathi (CSK),2025,5,5,-,55,23,11,57,96.49,-,-,-,6,1
GJ Maxwell (PBKS),2025,7,6,-,48,30,8,49,97.95,-,-,1,5,1
C Bosch (MI),2025,3,2,-,47,27,23.5,32,146.87,-,-,-,3,3
Ramandeep Singh (KKR),2025,11,7,2,47,22,9.4,35,134.28,-,-,1,1,4
Rashid Khan (GT),2025,15,8,3,40,12,8,28,142.85,-,-,1,2,3
MJ Santner (MI),2025,13,8,6,40,18*,20,33,121.21,-,-,-,2,3
DL Chahar (MI),2025,14,4,3,37,28*,37,25,148,-,-,1,3,2
R Ashwin (CSK),2025,9,4,-,33,13,8.25,30,110,-,-,-,3,1
DJ Hooda (CSK),2025,7,5,-,31,22,6.2,41,75.6,-,-,1,2,1
Arshad Khan (GT),2025,9,5,3,23,20,11.5,19,121.05,-,-,-,0,3
Sediqullah Atal (DC),2025,1,1,-,22,22,22,16,137.5,-,-,-,0,2
Avesh Khan (LSG),2025,13,4,3,21,19*,21,12,175,-,-,1,3,1
HV Patel (SRH),2025,13,4,2,21,12*,10.5,26,80.76,-,-,-,0,0
BKG Mendis (GT),2025,1,1,-,20,20,20,10,200,-,-,-,1,2
SN Thakur (LSG),2025,10,5,2,18,6,6,12,150,-,-,1,3,0
Kuldeep Yadav (DC),2025,14,5,2,18,7,6,16,112.5,-,-,-,2,0
G Coetzee (GT),2025,4,2,-,17,12,8.5,11,154.54,-,-,-,2,1
J Overton (CSK),2025,3,2,2,15,11*,-,7,214.28,-,-,-,1,1
MP Breetzke (LSG),2025,1,1,-,14,14,14,12,116.66,-,-,-,1,1
A Kamboj (CSK),2025,8,5,3,14,5*,7,12,116.66,-,-,1,2,0
B Kumar (RCB),2025,14,6,3,14,8,4.66,25,56,-,-,-,1,0
A Taide (SRH),2025,1,1,-,13,13,13,9,144.44,-,-,-,3,0
Ravi Bishnoi (LSG),2025,11,3,1,13,13,6.5,16,81.25,-,-,1,0,2
Harpreet Brar (PBKS),2025,8,2,1,11,7*,11,13,84.61,-,-,-,0,1
XC Bartlett (PBKS),2025,4,1,-,11,11,11,15,73.33,-,-,-,1,0
Mohammed Shami (SRH),2025,9,4,3,10,6*,10,10,100,-,-,-,1,0
PVD Chameera (DC),2025,6,3,3,10,8*,-,14,71.42,-,-,-,0,0
M Theekshana (RR),2025,11,4,2,10,5,5,27,37.03,-,-,-,0,0
Shahbaz Ahmed (LSG),2025,3,1,-,9,9,9,8,112.5,-,-,-,1,0
K Rabada (GT),2025,4,2,1,9,7*,9,8,112.5,-,-,-,0,1
PWA Mulder (SRH),2025,1,1,-,9,9,9,11,81.81,-,-,-,1,0
PW Hasaranga (RR),2025,11,5,-,9,4,1.8,15,60,-,-,2,0,0
KT Maphaka (RR),2025,2,1,1,8,8*,-,2,400,-,-,-,2,0
RA Bawa (MI),2025,3,1,1,8,8*,-,4,200,-,-,-,0,0
TU Deshpande (RR),2025,10,4,3,7,3,7,8,87.5,-,-,-,0,0
Suryansh Shedge (PBKS),2025,5,3,-,7,4,2.33,11,63.63,-,-,-,0,0
Noor Ahmad (CSK),2025,14,6,2,7,2*,1.75,17,41.17,-,-,1,0,0
Akash Deep (LSG),2025,6,2,1,6,6*,6,2,300,-,-,1,0,1
Sandeep Sharma (RR),2025,10,1,1,6,6*,-,5,120,-,-,-,0,0
MA Starc (DC),2025,11,6,4,6,2*,3,10,60,-,-,1,0,0
R Minz (MI),2025,2,2,-,6,3,3,15,40,-,-,-,0,0
R Powell (KKR),2025,2,1,-,5,5,5,5,100,-,-,-,1,0
R Sai Kishore (GT),2025,15,3,-,5,3,1.66,10,50,-,-,-,0,0
Prince Yadav (LSG),2025,6,2,2,5,4*,-,10,50,-,-,-,0,0
MM Ali (KKR),2025,6,2,-,5,5,2.5,14,35.71,-,-,1,0,0
LH Ferguson (PBKS),2025,4,1,1,4,4*,-,1,400,-,-,-,1,0
Yash Dayal (RCB),2025,15,3,1,4,3,2,8,50,-,-,1,0,0
A Madhwal (RR),2025,4,1,1,4,4*,-,9,44.44,-,-,-,0,0
M Tiwari (DC),2025,1,1,-,3,3,3,4,75,-,-,-,0,0
Mohammed Siraj (GT),2025,15,1,1,3,3*,-,4,75,-,-,-,0,0
K Kartikeya (RR),2025,4,2,-,3,2,1.5,5,60,-,-,-,0,0
Simarjeet Singh (SRH),2025,4,3,1,3,3*,1.5,7,42.85,-,-,2,0,0
Fazalhaq Farooqi (RR),2025,5,1,1,2,2*,-,2,100,-,-,-,0,0
TA Boult (MI),2025,16,2,1,2,1*,2,3,66.66,-,-,-,0,0
SH Johnson (KKR),2025,4,2,2,2,1*,-,4,50,-,-,-,0,0
Arshdeep Singh (PBKS),2025,17,2,1,2,1*,2,6,33.33,-,-,-,0,0
KV Sharma (MI),2025,6,1,1,1,1*,-,1,100,-,-,-,0,0
CV Varun (KKR),2025,13,1,1,1,1*,-,1,100,-,-,-,0,0
