Player,Season,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JC Buttler (RR),2022,17,17,2,863,116,57.53,579,149.05,4,4,-,83,45
KL Rahul (LSG),2022,15,15,3,616,103*,51.33,455,135.38,2,4,3,45,30
Q de Kock (LSG),2022,15,15,1,508,140*,36.28,341,148.97,1,3,-,47,23
HH Pandya (GT),2022,15,15,4,487,87*,44.27,371,131.26,-,4,-,49,12
Shubman Gill (GT),2022,16,16,2,483,96,34.5,365,132.32,-,4,2,51,11
DA Miller (GT),2022,16,16,9,481,94*,68.71,337,142.72,-,2,-,32,23
F du Plessis (RCB),2022,16,16,1,468,96,31.2,367,127.52,-,3,2,49,13
S Dhawan (PBKS),2022,14,14,2,460,88*,38.33,375,122.66,-,3,-,47,12
SV Samson (RR),2022,17,17,1,458,55,28.62,312,146.79,-,2,-,43,26
DJ Hooda (LSG),2022,15,14,-,451,59,32.21,330,136.66,-,4,-,36,18
LS Livingstone (PBKS),2022,14,14,2,437,70,36.41,240,182.08,-,4,-,29,34
DA Warner (DC),2022,12,12,3,432,92*,48,287,150.52,-,5,1,52,15
Abhishek Sharma (SRH),2022,14,14,-,426,75,30.42,320,133.12,-,2,1,47,13
Ishan Kishan (MI),2022,14,14,1,418,81*,32.15,348,120.11,-,3,1,45,11
RA Tripathi (SRH),2022,14,14,3,413,76,37.54,261,158.23,-,3,2,40,20
SS Iyer (KKR),2022,14,14,1,401,85,30.84,298,134.56,-,3,-,41,11
NT Tilak Varma (MI),2022,14,14,3,397,61,36.09,303,131.02,-,2,1,29,16
AK Markram (SRH),2022,14,12,4,381,68*,47.62,274,139.05,-,3,-,25,19
D Padikkal (RR),2022,17,17,-,376,54,22.11,306,122.87,-,1,1,40,14
RD Gaikwad (CSK),2022,14,14,-,368,99,26.28,291,126.46,-,3,2,33,14
N Rana (KKR),2022,14,14,1,361,57,27.76,251,143.82,-,2,1,29,22
V Kohli (RCB),2022,16,16,1,341,73,22.73,294,115.98,-,2,3,32,8
RR Pant (DC),2022,14,13,2,340,44,30.9,224,151.78,-,-,-,35,16
AD Russell (KKR),2022,14,12,3,335,70*,37.22,192,174.47,-,1,2,18,32
RM Patidar (RCB),2022,8,7,1,333,112*,55.5,218,152.75,1,2,-,27,18
